"Guid","Picklist__c","SBQQ__BillingCity__c","SBQQ__BillingCountry__c","SBQQ__BillingFrequency__c","SBQQ__BillingName__c","SBQQ__BillingPostalCode__c","SBQQ__BillingState__c","SBQQ__BillingStreet__c","SBQQ__ConsumptionRateOverride__c","SBQQ__ContractingMethod__c","SBQQ__CustomerDiscount__c","SBQQ__DeliveryMethod__c","SBQQ__DistributorDiscount__c","SBQQ__DocumentStatus__c","SBQQ__EmailTemplateId__c","SBQQ__EndDate__c","SBQQ__ExpirationDate__c","SBQQ__FirstSegmentTermEndDate__c","SBQQ__GenerateContractedPrice__c","SBQQ__Introduction__c","SBQQ__Key__c","SBQQ__LineItemsGrouped__c","SBQQ__LineItemsPrinted__c","SBQQ__MarkupRate__c","SBQQ__Notes__c","SBQQ__OrderByQuoteLineGroup__c","SBQQ__OrderBy__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__OriginalQuote__c","SBQQ__PaperSize__c","SBQQ__PartnerDiscount__c","SBQQ__PaymentTerms__c","SBQQ__PricebookId__c","SBQQ__Primary__c","SBQQ__ProrationDayOfMonth__c","SBQQ__QuoteLanguage__c","SBQQ__QuoteProcessId__c","SBQQ__QuoteTemplateId__c","SBQQ__RenewalTerm__c","SBQQ__RenewalUpliftRate__c","SBQQ__ShippingCity__c","SBQQ__ShippingCountry__c","SBQQ__ShippingName__c","SBQQ__ShippingPostalCode__c","SBQQ__ShippingState__c","SBQQ__ShippingStreet__c","SBQQ__Source__c","SBQQ__StartDate__c","SBQQ__Status__c","SBQQ__SubscriptionTerm__c","SBQQ__TargetCustomerAmount__c","SBQQ__Type__c","SBQQ__Unopened__c","SBQQ__WatermarkShown__c","new_field__c"
b5ba6609-8245-4c2d-a0a3-dea1d9441742,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,10.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2023-01-11,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 30,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Draft,"#N/A","#N/A",Quote,true,false,"#N/A"
c618e2f2-e2f9-48a0-83cc-00544413a6e8,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-11-05,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 45,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Draft,"#N/A","#N/A",Quote,true,false,"#N/A"
c8625bae-7a2d-41cc-bd08-61d048035c96,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-11-05,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 45,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Draft,"#N/A","#N/A",Quote,true,false,"#N/A"
d76f3f1d-287c-4f9b-9624-e416198a7eac,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-11-18,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 30,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Draft,"#N/A","#N/A",Quote,true,false,"#N/A"
dbe7fcaf-ab1d-4913-819a-7129ae284ef9,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2022-03-03,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 30,01s5e000006MnmdAAC,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-02-01,Draft,24.0,"#N/A",Quote,false,false,"#N/A"
e0c045d9-6586-4c8e-a8cd-48256bccb3bd,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2022-03-03,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 30,01s5e000006MnmdAAC,true,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-02-01,Draft,24.0,"#N/A",Quote,false,false,"#N/A"
e1cdc6f9-c715-4838-a7aa-97e960cfd0a8,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-11-18,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 30,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Draft,"#N/A","#N/A",Quote,true,false,"#N/A"
f3852901-0cfb-4024-ae69-3f77df8915ea,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-11-18,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 30,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Draft,"#N/A","#N/A",Quote,true,false,"#N/A"
f621f52f-fc9e-47b1-85cf-87ddd305f7ba,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2023-01-08,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 30,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",In Review,"#N/A","#N/A",Quote,true,false,"#N/A"
fdd155f0-ae07-43bb-b36b-890553af3d23,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,By Subscription End Date,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2022-11-05,"#N/A","#N/A","#N/A","#N/A",false,true,"#N/A","#N/A",false,"#N/A","#N/A",false,"#N/A",Default,"#N/A",Net 45,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Draft,"#N/A","#N/A",Quote,true,false,"#N/A"
